log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
8.18198	55.4283	653.831	-57.0177	37.6814	39.219	34.7469	39.2314
8.4143	55.4283	653.831	-126.973	37.7926	39.2824	34.8591	39.2962
8.64662	55.4283	653.831	-246.63	37.8702	39.4041	34.9729	39.4167
8.87895	55.4283	653.831	0	38.0093	39.541	35.0678	39.5536
9.11127	55.4283	653.831	0	38.0734	39.635	35.1823	39.6468
9.34359	55.4283	653.831	0	38.1309	39.7829	35.2886	39.7925
9.57592	55.4283	653.831	0	38.1946	39.8346	35.3762	39.8445
9.80824	55.4283	653.831	0	38.2753	39.9815	35.4874	39.9899
10.0406	55.4283	653.831	0	38.2136	40.0949	35.5972	40.1006
10.2729	55.4283	653.831	0	38.3526	40.2489	35.6815	40.2544
10.5052	55.4283	653.831	0	38.2678	40.2939	35.7924	40.298
10.7375	55.4283	653.831	0	38.408	40.3873	35.8922	40.3918
10.9699	55.4283	653.831	0	38.3125	40.5247	35.9534	40.5274
11.2022	55.4283	653.831	0	38.2779	40.5509	36.0868	40.5533
11.4345	55.4283	653.831	0	38.0131	40.6359	36.1637	40.637
11.6668	55.4283	653.831	0	37.8699	40.6954	36.2302	40.6961
11.8991	55.4283	653.831	0	38.2223	40.7866	36.3344	40.7878
12.1315	55.4283	653.831	0	37.3579	40.7449	36.3334	40.7451
12.3638	55.4283	653.831	0	37.1786	40.8175	36.4981	40.8176
12.5961	55.4283	653.831	0	37.482	40.7354	36.4632	40.7357
12.8284	55.4283	653.831	0	37.5904	40.8408	36.5333	40.841
13.0608	55.4283	653.831	0	36.4066	40.7095	36.6024	40.7096
13.2931	55.4283	653.831	0	36.6504	40.9047	36.5102	40.9048
13.5254	55.4283	653.831	0	36.5933	40.7976	36.5727	40.7976
13.7577	55.4283	653.831	0	35.5132	40.0612	36.4852	40.0614
13.9901	55.4283	653.831	0	35.6745	40.2208	36.303	40.2208
14.2224	55.4283	653.831	0	35.4395	39.9882	36.1928	39.9883
14.4547	55.4283	653.831	0	36.0948	40.5058	35.8662	40.5058
14.687	55.4283	653.831	0	33.6575	38.283	35.0825	38.2833
14.9193	55.4283	653.831	0	0	0	0	0
15.1517	55.4283	653.831	0	0	0	0	0
15.384	55.4283	653.831	0	0	0	0	0
15.6163	55.4283	653.831	0	0	0	0	0
15.8486	55.4283	653.831	0	0	0	0	0
16.081	55.4283	653.831	0	0	0	0	0
16.3133	55.4283	653.831	0	0	0	0	0
16.5456	55.4283	653.831	0	0	0	0	0
16.7779	55.4283	653.831	0	0	0	0	0
